status,Chipset,SIM,Cardslot,CPU,GPU,Display,price[EUR],weight[g],length[mm],width[mm],thikness[mm],Internal memory[GB],Internal memory RAM[GB],Video[fps],Battery Type[mAh],Announced,OS
161,66,125,73,116,23,16,0.026849962410052625,0.1729559748427673,0.36989247311827955,0.19732937685459945,0.380952380952381,0.2440944881889764,0.2,0.0,0.3870330755306895,0.06622516556291391,0
161,66,125,73,116,23,11,0.008626509351458336,0.16561844863731656,0.3791090629800308,0.1948565776458952,0.3523809523809523,0.11811023622047244,0.2,0.0,0.3870330755306895,0.01324503311258278,0
161,66,125,73,116,23,21,0.046028506988661635,0.32389937106918243,0.5130568356374808,0.4287833827893176,0.3904761904761905,0.11811023622047244,0.2,0.0,0.39526081948329767,0.01986754966887417,0
161,66,125,73,116,23,11,0.062249719993249145,0.16561844863731656,0.3791090629800308,0.1948565776458952,0.3523809523809523,0.11811023622047244,0.2,0.0,0.3870330755306895,0.01324503311258278,0
161,19,125,106,4,9,4,0.33038111603786613,0.16876310272536688,0.3720430107526882,0.16765578635014844,0.28571428571428575,0.2440944881889764,0.4666666666666667,0.0,0.30475563600460753,0.033112582781456956,0
161,66,125,73,116,2,5,0.2592900869938782,0.4643605870020965,0.644546850998464,0.6295746785361029,0.15238095238095234,0.2440944881889764,0.7333333333333334,0.0,0.6667763699193682,0.01986754966887417,0
161,66,125,73,116,23,11,0.02086242079261089,0.1729559748427673,0.3791090629800308,0.1948565776458952,0.3904761904761905,0.11811023622047244,0.2,0.0,0.3870330755306895,0.06622516556291391,0
161,66,125,73,116,23,11,0.01826948156558295,0.1729559748427673,0.3788018433179724,0.1943620178041543,0.3904761904761905,0.11811023622047244,0.2,0.0,0.3870330755306895,0.06622516556291391,0
161,19,125,73,116,9,46,0.20635730395691732,0.6687631027253669,0.7883256528417819,0.7749752720079129,0.2,0.2440944881889764,0.4666666666666667,0.0,0.8058252427184467,0.052980132450331126,0
161,53,125,106,116,53,4,0.20328873682433987,0.14255765199161427,0.31612903225806455,0.1607319485657765,0.31428571428571433,0.2440944881889764,0.7333333333333334,0.0,0.30475563600460753,0.0728476821192053,0
161,19,125,106,116,9,3,0.09297374840818079,0.16142557651991615,0.36251920122887865,0.1943620178041543,0.31428571428571433,0.2440944881889764,0.4666666666666667,0.0,0.3870330755306895,0.046357615894039736,0
161,19,125,106,116,9,3,0.06558678674992711,0.16142557651991615,0.36251920122887865,0.1943620178041543,0.31428571428571433,0.2440944881889764,0.4666666666666667,0.0,0.3870330755306895,0.052980132450331126,0
161,19,125,73,116,10,16,0.03988753701459104,0.18238993710691825,0.36989247311827955,0.19732937685459945,0.380952380952381,0.2440944881889764,0.2,0.0,0.3870330755306895,0.033112582781456956,0
161,19,125,106,4,9,5,0.11852340549580372,0.1960167714884696,0.36251920122887865,0.1943620178041543,0.3904761904761905,0.2440944881889764,0.4666666666666667,0.0,0.3623498436728649,0.03973509933774834,0
1,66,125,73,116,23,11,0.02301425349433082,0.18134171907756813,0.3791090629800308,0.1948565776458952,0.40952380952380946,0.2440944881889764,0.2,0.0,0.46931051505677146,0.059602649006622516,0
