@RELATION devices

@ATTRIBUTE "status" {"Available","Cancelled","Coming","Discontinued"}
@ATTRIBUTE "OS" {"Android","Android Wear OS","Chrome OS","MagicOS","Microsoft Windows","Microsoft Windows Phone","Proprietary OS","iOS","iPadOS","watchOS"}
@ATTRIBUTE "Chipset" {"Allwinner","Apple","Exynos","Intel","Mediatek","Qualcomm","Rockchip"}
@ATTRIBUTE "SIM" {"Hybrid","Micro","Mini","Nano","No","Single","Triple","Yes","eSIM"}
@ATTRIBUTE "Cardslot" {"No","Unspecified","microSDHC","microSDXC"}
@ATTRIBUTE "CPU" {"10-core","5-core","8-core","9-core","Dual-core","Hexa-core","Octa-core","Penta-core","Quad-core","Unknown"}
@ATTRIBUTE "GPU" {"Adreno","Apple","Arm","IMG","Immortalis-G720","Immortalis-G925","Intel","Mali","Mali-400","Mali-400MP2","Mali-450MP4","Mali-G52","Mali-G57","Mali-G615","Mali-G68","Mali-G720","Mali-T720","Mali-T720MP2","Mali-T720MP3","Mali-T720MP4","Mali-T760MP2","PowerVR","Unknown","Xclipse"}
@ATTRIBUTE "Display" {"AMOLED","Dynamic AMOLED 2X","Dynamic LTPO AMOLED 2X","Foldable Dynamic LTPO AMOLED 2X","Foldable LTPO AMOLED","Foldable LTPO OLED","IPS LCD","LED-backlit IPS LCD","LTPO AMOLED","LTPO AMOLED 2X","LTPO OLED","LTPO Super Retina XDR OLED","Liquid Retina IPS LCD","Liquid Retina XDR mini-LED LCD","OLED","PLS LCD","Retina IPS LCD","Retina LTPO OLED","Retina LTPO2 OLED","Retina LTPO3 OLED","Super AMOLED","Super AMOLED+","Super Retina XDR OLED","TFT","TFT LCD","Tri-foldable Dynamic LTPO AMOLED 2X","Ultra Retina Tandem OLED"}
@ATTRIBUTE "price[EUR]" NUMERIC
@ATTRIBUTE "weight[g]" NUMERIC
@ATTRIBUTE "length[mm]" NUMERIC
@ATTRIBUTE "width[mm]" NUMERIC
@ATTRIBUTE "thikness[mm]" NUMERIC
@ATTRIBUTE "Internal memory[GB]" NUMERIC
@ATTRIBUTE "Internal memory RAM[GB]" NUMERIC
@ATTRIBUTE "Video[fps]" NUMERIC
@ATTRIBUTE "Battery Type[mAh]" NUMERIC
@ATTRIBUTE "Announced" STRING

@DATA
"Available","Android","Exynos","Nano","No","10-core","Xclipse","Dynamic AMOLED 2X",369.0,213,162.0,77.3,8.0,128,8,30,4700,"2024-09-26"
"Coming","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","PLS LCD",120,199,167.4,77.4,8.2,128,4,?,6000,"2026-02-09"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Mali-G68","Super AMOLED",144.44,192,164.4,77.9,7.5,128,4,30,5000,"2025-08-06"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Mali-G68","Super AMOLED",144.87,192,164.4,77.9,7.5,128,4,30,5000,"2025-09-11"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Mali-G68","Super AMOLED",120,192,164.4,77.9,7.5,128,4,30,5000,"2025-10-10"
"Available","Android","Exynos","Nano","No","Octa-core","Xclipse","Super AMOLED",278.0,198,162.2,77.5,7.4,128,6,30,5000,"2025-03-02"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","Tri-foldable Dynamic LTPO AMOLED 2X",2667.08,309,159.2,214.1,3.9,512,16,30,5600,"2025-12-02"
"Available","Android","Exynos","Nano","No","10-core","Xclipse","Foldable Dynamic LTPO AMOLED 2X",899.0,188,166.7,75.2,6.5,256,12,?,4300,"2025-07-09"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","Foldable Dynamic LTPO AMOLED 2X",1540.0,215,158.4,143.2,4.2,256,12,30,4400,"2025-07-09"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Immortalis-G720","Dynamic AMOLED 2X",1057.99,571,285.4,185.4,5.6,256,12,30,10090,"2024-09-26"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","LTPO AMOLED 2X",649.0,163,158.2,75.6,5.8,256,12,30,3900,"2025-05-13"
"Available","Android Wear OS","Exynos","eSIM","No","Penta-core","Mali-G68","Super AMOLED",232.79,34,46.0,43.7,8.6,32,2,?,435,"2025-07-09"
"Available","Android","Qualcomm","Nano","microSDXC","Octa-core","Adreno","Super AMOLED+",220,180,163.9,76.5,7.8,128,8,30,5000,"2024-09-24"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","PLS LCD",175.99,199,167.4,77.4,8.2,128,4,?,6000,"2026-01-13"
